"ODPRingOscInput","TWName2","Index","EnableTW1","EnableTW2","IRO_Select","RO2_Select","RO1_Select","Osc_enable","Chip_Select","Chain","iforce_vsense_sel","Suitename","Testname"
"O_GRO_8XH_ND2F2P5","O_IRO_8X_INVF1M8Y10030",20,"Yes","Yes","0b0000","0b1100100","0b1011001","0b00000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_ND2F2P5FO5","O_IRO_8X_INVF1NL2",21,"Yes","Yes","0b0000","0b0010100","0b0111001","0b00000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_NR2F0P5","O_IRO_8X_INVF1M15015",22,"Yes","Yes","0b0000","0b1010100","0b1111001","0b00000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_NR2F2P5","O_IRO_8X_INVF1M25015",23,"Yes","Yes","0b0000","0b0110100","0b0000101","0b00000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_NR2F2P5FO5","O_IRO_8X_INVF1M35005",24,"Yes","Yes","0b0000","0b1110100","0b1000101","0b00000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_AOI22F0P5","O_IRO_8X_INVF1M35015",25,"Yes","Yes","0b0000","0b0001100","0b0100101","0b00000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_MUX2F12SR","O_IRO_8X_ND20P5F1M35015",26,"Yes","Yes","0b0000","0b1001100","0b1100101","0b00000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_INVF1","O_IRO_8X_NR20P5F1M35015",27,"Yes","Yes","0b0000","0b0101100","0b0010101","0b00000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_INVF1FO3","O_IRO_8X_INVF1M1T5015",28,"Yes","Yes","0b0000","0b1101100","0b1010101","0b00000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_INVF1FO5","O_IRO_8X_INVF1M2T5015",29,"Yes","Yes","0b0000","0b0011100","0b0110101","0b00000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_INVF10","O_IRO_8X_INVF1M3T5015",30,"Yes","Yes","0b0000","0b1011100","0b1110101","0b00000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_INVX","O_IRO_8X_INVF1M4T5010",31,"Yes","Yes","0b0000","0b0111100","0b0001101","0b00000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_ND2F0P5","O_IRO_8X_INVF1M5T5010",32,"Yes","Yes","0b0000","0b1111100","0b1001101","0b00000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_ND2F2P5","O_IRO_8X_INVF1M6T5010",33,"Yes","Yes","0b0000","0b0000010","0b0101101","0b00000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_ND2F2P5FO5","O_IRO_8X_INVF1M7YT10030",34,"Yes","Yes","0b0000","0b1000010","0b1101101","0b00000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_NR2F0P5","O_IRO_8X_INVF1M8YT10030",35,"Yes","Yes","0b0000","0b0100010","0b0011101","0b00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_NR2F2P5","O_AVS_8XS_NCLK",36,"Yes","Yes","0b0000","0b1100010","0b1000011","0b00000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_NR2F2P5FO5","O_AVS_8XS_PCLK",37,"Yes","Yes","0b0000","0b0010010","0b0100011","0b00000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_AOI22F0P5","O_AVS_8XH_NCLK",38,"Yes","Yes","0b0000","0b1010010","0b1100011","0b00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_MUX2F12SR","O_AVS_8XH_PCLK",39,"Yes","Yes","0b0000","0b0110010","0b0010011","0b00000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_PBTIND3F0P5","O_AVS_8XL_NCLK",40,"Yes","Yes","0b0000","0b1110010","0b1010011","0b00000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_NBTINR3F0P5","O_AVS_8XL_PCLK",41,"Yes","Yes","0b0000","0b0001010","0b0110011","0b00000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_RELLRGINVF1","O_CR_8XS_PATH1_0",42,"Yes","Yes","0b0000","0b1001010","0b1110011","0b00000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_PBTIND3F0P5","O_CR_8XS_PATH1_1",43,"Yes","Yes","0b0000","0b0101010","0b0001011","0b00000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_NBTINR3F0P5","O_CR_8XS_PATH1_2",44,"Yes","Yes","0b0000","0b1101010","0b1001011","0b00000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_RELLRGINVF1","O_CR_8XS_PATH1_3",45,"Yes","Yes","0b0000","0b0011010","0b0101011","0b00000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_PBTIND3F0P5","O_CR_8XS_PATH1_4",46,"Yes","Yes","0b0000","0b1011010","0b1101011","0b00000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_NBTINR3F0P5","O_CR_8XS_PATH1_5",47,"Yes","Yes","0b0000","0b0111010","0b0011011","0b00000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000","0b000000","0b00000",,,
"O_GRO_8XL_RELLRGINVF1","O_CR_8XS_PATH1_6",48,"Yes","No","0b0000","0b1111010","0b1011011","0b00000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000","0b000000","0b00000",,,
"O_GRO_8X_RELINV1P5V","O_CR_8XS_PATH1_7",49,"Yes","No","0b0000","0b0000110","0b0111011","0b00000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000","0b000000","0b00000",,,
"O_GRO_8X_RELINV1P8V","O_CR_8XS_PATH2_0",50,"Yes","Yes","0b0000","0b1000110","0b1111011","0b00000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_PBTIND3F0P5BI","O_CR_8XS_PATH2_1",51,"Yes","Yes","0b0000","0b0100110","0b0000111","0b00000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_NBTINR3F0P5BI","O_CR_8XS_PATH2_2",52,"Yes","Yes","0b0000","0b1100110","0b1000111","0b00000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000","0b000000","0b00000",,,
"O_GRO_8XS_RELLRGINVF1BI","O_CR_8XS_PATH2_3",53,"Yes","Yes","0b0000","0b0010110","0b0100111","0b00000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000","0b000000","0b00000",,,
"O_GRO_8XH_PBTIND3F0P5BI","O_CR_8XS_PATH2_4",54,"Yes","No","0b0000","0b1010110","0b1100111","0b00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000","0b000000","0b00000",,,
"O_GRO_8XH_NBTINR3F0P5BI","O_CR_8XS_PATH2_5",55,"Yes","No","0b0000","0b0110110","0b0010111","0b00000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000","0b000000","0b00000",,,
"O_GRO_8XH_RELLRGINVF1BI","O_CR_8XS_PATH2_6",56,"Yes","No","0b0000","0b1110110","0b1010111","0b00000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000","0b000000","0b00000",,,
"O_GRO_8XL_PBTIND3F0P5BI","O_CR_8XS_PATH2_7",57,"Yes","No","0b0000","0b0001110","0b0110111","0b00000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000","0b000000","0b00000",,,
"O_GRO_8XL_NBTINR3F0P5BI",,58,"Yes","No","0b0000","0b1001110","0b0000000","0b00000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
