"Suite name","Test name","Test number","Lsl","Usl","Lsl","Usl","Lsl","Usl","Lsl","Usl","Lsl","Usl","Lsl_typ","Usl_typ","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"DieIDPreRead_Thermal_st","devY","80011","0","170","0","170","0","170","0","170","0","170","GE","LE","","24","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","devWaf","80012","0","65","0","65","0","65","0","65","0","65","GE","LE","","25","FUSE_DIEID_WaferNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","devLot","80013","0","524416","0","524416","0","524416","0","524416","0","524416","GE","LE","","26","FUSE_DIEID_LotNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","devFab","80014","0","15","0","15","0","15","0","15","0","15","GE","LE","","27","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","devDesRev","80015","0","17","0","17","0","17","0","17","0","17","GE","LE","","28","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","devMemRepair","80016","0","1","0","1","0","1","0","1","0","1","GE","LE","","29","FUSE_DIEID_MemRep_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","devSuccess","80017","0","1","0","1","0","1","0","1","0","1","GE","LE","","30","FUSE_DIEID_DevSuccess","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","DIEID_FABCODE","80018","1","1","1","1","1","1","1","1","1","1","GE","LE","","31","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Thermal_st","DIEID_DESIGNREV","80019","1","1","1","1","1","1","1","1","1","1","GE","LE","","32","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devX","80020","0","76","0","76","0","76","0","76","0","76","GE","LE","","23","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devY","80021","0","170","0","170","0","170","0","170","0","170","GE","LE","","24","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devWaf","80022","0","65","0","65","0","65","0","65","0","65","GE","LE","","25","FUSE_DIEID_WaferNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devLot","80023","0","524416","0","524416","0","524416","0","524416","0","524416","GE","LE","","26","FUSE_DIEID_LotNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devFab","80024","0","15","0","15","0","15","0","15","0","15","GE","LE","","27","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devDesRev","80025","0","17","0","17","0","17","0","17","0","17","GE","LE","","28","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devMemRepair","80026","0","1","0","1","0","1","0","1","0","1","GE","LE","","29","FUSE_DIEID_MemRep_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","devSuccess","80027","0","1","0","1","0","1","0","1","0","1","GE","LE","","30","FUSE_DIEID_DevSuccess","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","DIEID_FABCODE","80028","1","1","1","1","1","1","1","1","1","1","GE","LE","","31","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_SupplyShorts_st","DIEID_DESIGNREV","80029","1","1","1","1","1","1","1","1","1","1","GE","LE","","32","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devX","80030","0","76","0","76","0","76","0","76","0","76","GE","LE","","23","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devY","80031","0","170","0","170","0","170","0","170","0","170","GE","LE","","24","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devWaf","80032","0","65","0","65","0","65","0","65","0","65","GE","LE","","25","FUSE_DIEID_WaferNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devLot","80033","0","524416","0","524416","0","524416","0","524416","0","524416","GE","LE","","26","FUSE_DIEID_LotNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devFab","80034","0","15","0","15","0","15","0","15","0","15","GE","LE","","27","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devDesRev","80035","0","17","0","17","0","17","0","17","0","17","GE","LE","","28","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devMemRepair","80036","0","1","0","1","0","1","0","1","0","1","GE","LE","","29","FUSE_DIEID_MemRep_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","devSuccess","80037","0","1","0","1","0","1","0","1","0","1","GE","LE","","30","FUSE_DIEID_DevSuccess","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","DIEID_FABCODE","80038","1","1","1","1","1","1","1","1","1","1","GE","LE","","31","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Open_st","DIEID_DESIGNREV","80039","1","1","1","1","1","1","1","1","1","1","GE","LE","","32","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devX","80040","0","76","0","76","0","76","0","76","0","76","GE","LE","","23","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devY","80041","0","170","0","170","0","170","0","170","0","170","GE","LE","","24","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devWaf","80042","0","65","0","65","0","65","0","65","0","65","GE","LE","","25","FUSE_DIEID_WaferNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devLot","80043","0","524416","0","524416","0","524416","0","524416","0","524416","GE","LE","","26","FUSE_DIEID_LotNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devFab","80044","0","15","0","15","0","15","0","15","0","15","GE","LE","","27","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devDesRev","80045","0","17","0","17","0","17","0","17","0","17","GE","LE","","28","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devMemRepair","80046","0","1","0","1","0","1","0","1","0","1","GE","LE","","29","FUSE_DIEID_MemRep_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","devSuccess","80047","0","1","0","1","0","1","0","1","0","1","GE","LE","","30","FUSE_DIEID_DevSuccess","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","DIEID_FABCODE","80048","1","1","1","1","1","1","1","1","1","1","GE","LE","","31","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortn_st","DIEID_DESIGNREV","80049","1","1","1","1","1","1","1","1","1","1","GE","LE","","32","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devX","80050","0","76","0","76","0","76","0","76","0","76","GE","LE","","23","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devY","80051","0","170","0","170","0","170","0","170","0","170","GE","LE","","24","FUSE_DIEID_WaferXY_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devWaf","80052","0","65","0","65","0","65","0","65","0","65","GE","LE","","25","FUSE_DIEID_WaferNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devLot","80053","0","524416","0","524416","0","524416","0","524416","0","524416","GE","LE","","26","FUSE_DIEID_LotNum_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devFab","80054","0","15","0","15","0","15","0","15","0","15","GE","LE","","27","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devDesRev","80055","0","17","0","17","0","17","0","17","0","17","GE","LE","","28","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devMemRepair","80056","0","1","0","1","0","1","0","1","0","1","GE","LE","","29","FUSE_DIEID_MemRep_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","devSuccess","80057","0","1","0","1","0","1","0","1","0","1","GE","LE","","30","FUSE_DIEID_DevSuccess","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","DIEID_FABCODE","80058","1","1","1","1","1","1","1","1","1","1","GE","LE","","31","FUSE_DIEID_FabCode_F","10","F_FUSE","bad","no","yes",""
"DieIDPreRead_Shortp_st","DIEID_DESIGNREV","80059","1","1","1","1","1","1","1","1","1","1","GE","LE","","32","FUSE_DIEID_DesRev_F","10","F_FUSE","bad","no","yes",""
